rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_omflag,pl_cbflag,pl_angsep,pl_orbtper,pl_orblper,pl_rvamp,pl_eqt,pl_insol,pl_massj,pl_msinij,pl_masse,pl_msinie,pl_bmasse,pl_rade,pl_rads,pl_trandep,pl_trandur,pl_tranmid,pl_tsystemref,pl_imppar,pl_occdep,pl_ratdor,pl_ratror,pl_def_reflink,pl_disc,pl_disc_reflink,pl_locale,pl_facility,pl_telescope,pl_instrument,pl_status,pl_mnum,pl_st_npar,pl_st_nref,pl_pelink,pl_edelink,pl_publ_date,hd_name,hip_name,st_rah,st_glon,st_glat,st_elon,st_elat,st_plx,gaia_plx,st_pmra,st_pmdec,st_pm,gaia_pmra,gaia_pmdec,gaia_pm,st_radv,st_sp,st_spstr,st_logg,st_lum,st_dens,st_metfe,st_metratio,st_age,st_vsini,st_acts,st_actr,st_actlx,swasp_id,st_nts,st_nplc,st_nglc,st_nrvc,st_naxa,st_nimg,st_nspec,st_uj,st_vj,st_bj,st_rc,st_ic,st_j,st_h,st_k,st_wise1,st_wise2,st_wise3,st_wise4,st_irac1,st_irac2,st_irac3,st_irac4,st_mips1,st_mips2,st_mips3,st_iras1,st_iras2,st_iras3,st_iras4,st_photn,st_umbj,st_bmvj,st_vjmic,st_vjmrc,st_jmh2,st_hmk2,st_jmk2,st_bmy,st_m1,st_c1,st_colorn
415,HD 113337,b,HD 113337 b,Radial Velocity,0,1,324,0.92,0.46,,2.83,Msini,,,0,0,0,0,13h01m46.93s,195.445526,+63d36m36.8s,63.610226,36.22,36.22,6.008,V (Johnson),5.901,6576.6,1.4,1.5,5/14/14,0,1,1,0,0,0,2.54E+01,2456074.5,-140.8,75.6,,,,2.83,,899.42,899.42,,,,,,,,,,,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,2013,<a refstr=BORGNIET_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A..65B/abstract target=ref> Borgniet et al. 2014 </a>,Ground,Haute-Provence Observatory,1.93 m Telescope,SOPHIE Spectrograph,3,0,21,20,http://exoplanet.eu/catalog/hd_113337_b/,http://exoplanets.org/detail/HD_113337_b,2014-01,HD 113337,HIP 63584,13.02970174,121.000766,53.479308,149.962938,60.337844,27.61,27.61,-173.5,24.8,175.3,-173.5,24.8,175.3,-16,3.6,F6 V,4.21,,,0.07,[Fe/H],0.15,6.3,,,29.21,,1,0,1,0,0,3,0,,6.008,6.423,,,5.187,5.053,5.005,4.983,4.757,5.033,4.914,,,,,,,,4.79E+00,3.49E+00,1.18E+00,-9.16E-01,17,,0.415,,,0.134,0.048,0.182,,,,5
416,HD 113538,b,HD 113538 b,Radial Velocity,0,2,663.2,1.24,0.14,,0.36,Msini,,,0,0,0,0,13h04m57.48s,196.239487,-52d26m34.5s,-52.442924,15.9,16.29,9.057,V (Johnson),8.443,4462,0.58,0.53,1/8/15,0,1,0,0,0,0,7.80E+01,2455500,74,12.2,,,,0.36,,114.41,114.41,,,,,,,,,,,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,2010,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,34,22,http://exoplanet.eu/catalog/hd_113538_b/,,2011-03,HD 113538,HIP 63833,13.08263245,305.025704,10.373918,218.870997,-41.263619,63.03,61.39,-786,-795.6,1118.4,-786,-795.6,1118.4,39.2,5.9,K9 V,3.79,,,-0.24,[Fe/H],4.3,2,,,,,1,0,1,0,0,4,0,11.73,9.057,10.433,8.22,7.41,6.438,5.835,5.637,5.6,5.519,5.58,5.523,,,,,,,,,,,,27,1.29,1.376,1.66,0.842,0.603,0.198,0.801,0.79,0.774,0.047,17
417,HD 113538,c,HD 113538 c,Radial Velocity,0,2,1818,2.44,0.2,,0.93,Msini,,,0,0,0,0,13h04m57.48s,196.239487,-52d26m34.5s,-52.442924,15.9,16.29,9.057,V (Johnson),8.443,4462,0.58,0.53,1/8/15,0,1,0,0,0,0,1.54E+02,2456741,280,22.6,,,,0.93,,295.57,295.57,,,,,,,,,,,<a refstr=MOUTOU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...576A..48M/abstract target=ref>Moutou et al. 2015</a>,2010,<a refstr=MOUTOU_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...527A..63M/abstract target=ref> Moutou et al. 2011 </a>,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3,0,34,22,http://exoplanet.eu/catalog/hd_113538_c/,,2011-03,HD 113538,HIP 63833,13.08263245,305.025704,10.373918,218.870997,-41.263619,63.03,61.39,-786,-795.6,1118.4,-786,-795.6,1118.4,39.2,5.9,K9 V,3.79,,,-0.24,[Fe/H],4.3,2,,,,,1,0,1,0,0,4,0,11.73,9.057,10.433,8.22,7.41,6.438,5.835,5.637,5.6,5.519,5.58,5.523,,,,,,,,,,,,27,1.29,1.376,1.66,0.842,0.603,0.198,0.801,0.79,0.774,0.047,17
418,HD 113996,b,HD 113996 b,Radial Velocity,0,1,610.2,1.6,0.28,,6.3,Msini,,,0,0,0,0,13h07m10.73s,196.794708,+27d37m29.1s,27.624741,116.34,116.34,4.82,V (Johnson),4.145,4181,1.49,25.11,11/30/17,0,1,0,0,0,0,1.38E+01,2453309.94,92.06,120,,,,6.3,,2002.329,2002.329,,,,,,JD,,,,,<a refstr=JEONG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv171107173J/abstract target=ref>Jeong et al. 2017</a>,2017,<a refstr=JEONG_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv171107173J/abstract target=ref>Jeong et al. 2017</a>,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,3,0,17,16,http://exoplanet.eu/catalog/hd_113996_b/,,,HD 113996 A,HIP 64022,13.11964722,41.919431,86.470589,183.403095,31.819817,8.6,8.6,35.4,-70.5,78.9,35.4,-70.5,78.9,-15.72,5.5,K5 III,1.86,2.464,,0.13,[Fe/H],3.24,3.3,,,,,1,0,1,0,0,3,0,8.14,4.82,6.27,,,2.372,1.631,1.493,,,,,,,,,,,,7.45E-01,7.25E-01,7.74E-01,-9.16E-01,16,1.87,1.482,,,0.741,0.138,0.879,,,,8
419,HD 114386,b,HD 114386 b,Radial Velocity,0,1,937.70001,1.73,0.23,,1.14,Msini,,,0,0,0,0,13h10m39.82s,197.665924,-35d03m17.2s,-35.054783,27.95,27.95,8.73,V (Johnson),8.418,4836,0.6,0.76,9/6/18,0,1,0,0,0,0,6.19E+01,,,34.3,,,,1.14,,362.3262,362.3262,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2003,<a refstr=MAYOR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...415..391M/abstract target=ref> Mayor et al. 2004 </a>,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,3,0,60,24,http://exoplanet.eu/catalog/hd_114386_b/,http://exoplanets.org/detail/HD_114386_b,2004-02,HD 114386,HIP 64295,13.17772827,307.373028,27.651165,210.332387,-25.350161,35.78,35.78,-137.1,-324.9,352.6,-137.1,-324.9,352.6,34,5.3,K3 V,4.45,,,-0.05,[Fe/H],,1,,,,,2,0,1,1,0,3,0,,8.73,9.71,,,6.968,6.497,6.351,6.32,6.297,6.346,6.257,,,,,,,,,,,,15,,0.98,,,0.471,0.146,0.617,,,,6
420,HD 114613,b,HD 114613 b,Radial Velocity,0,1,4000,5.34,0.458,,0.357,Msini,,,0,0,0,0,13h12m03.19s,198.013275,-37d48m10.9s,-37.80302,20.29,20.29,4.85,V (Johnson),4.604,5641,1.27,2.14,12/6/18,0,1,0,0,0,0,2.63E+02,2455150,196,4.38,,,,0.357,,113.46531,113.46531,,,,,,JD,,,,,<a refstr=LUHN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv181103043L/abstract target=ref>Luhn et al. 2018</a>,2014,<a refstr=WITTENMYER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783..103W/abstract target=ref> Wittenmyer et al. 2014 </a>,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,48,37,http://exoplanet.eu/catalog/hd_114613_b/,,2014-03,HD 114613,HIP 64408,13.20088501,307.41949,24.88908,211.915844,-27.721768,49.27,49.27,-381.6,46.1,384.4,-381.6,46.1,384.4,-11.2,4.4,G4 IV,3.87,,,,,,2.7,0.153,-5.05,28.36,,2,0,1,1,0,4,3,5.86,4.85,5.55,4.465,4.115,3.692,3.346,3.303,3.25,3.014,3.24,3.207,,,,,3.23E+00,2.88E+00,,2.81E+00,2.81E+00,1.18E+00,-9.16E-01,35,0.31,0.7,0.73,0.38,0.346,0.043,0.389,0.438,0.238,0.388,21
421,HD 114729,b,HD 114729 b,Radial Velocity,0,1,1121.79,2.067,0.079,,0.825,Msini,,,0,0,0,0,13h12m44.26s,198.184402,-31d52m24.1s,-31.873348,37.85,37.85,6.687,V (Johnson),6.514,5844,0.94,1.47,6/27/19,0,1,0,0,0,0,5.46E+01,2454947.7,77.059,16.91,,,,0.825,,262.20975,262.20975,,,,,,BJD,,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,2002,<a refstr=BUTLER_ET_AL__2003 href=https://ui.adsabs.harvard.edu/abs/2003ApJ...582..455B/abstract target=ref> Butler et al. 2003 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,73,33,http://exoplanet.eu/catalog/hd_114729_b/,http://exoplanets.org/detail/HD_114729_b,2003-01,HD 114729 A,HIP 64459,13.2122935,308.195212,30.780665,209.323619,-22.274922,26.42,26.42,-200.2,-308,367.4,-200.2,-308,367.4,64.4,4,G0 V,4.05,,,-0.33,[Fe/H],10.116,2.29,0.147,-5.05,,,3,0,1,2,0,3,0,,6.687,,,,5.559,5.29,5.136,4.987,4.881,5.152,5.076,,,,,5.16E+00,4.73E+00,,4.66E+00,3.37E+00,1.18E+00,-1.25E+00,23,,0.688,,,0.269,0.154,0.423,0.393,0.155,0.348,13
422,HD 114762,b,HD 114762 b,Radial Velocity,0,1,83.9151,0.36,0.34,,10.69,Msini,,,0,0,0,0,13h12m19.74s,198.08226,+17d31m01.6s,17.517122,40.23,40.23,7.301,V (Johnson),7.14,5869,0.8,1.2,9/6/18,0,1,0,0,0,0,8.95E+00,,,612.5,,,,10.69,,3397.6027,3397.6027,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,1989,<a refstr=LATHAM_ET_AL__1989 href=https://ui.adsabs.harvard.edu/abs/1989Natur.339...38L/abstract target=ref> Latham et al. 1989 </a>,Ground,Oak Ridge Observatory,1.55 m Wyeth Telescope,CfA Digital Speedometer,3,0,54,23,http://exoplanet.eu/catalog/hd_114762_b/,http://exoplanets.org/detail/HD_114762_b,1989-05,HD 114762,HIP 64426,13.20548401,330.65868,79.246772,189.508372,23.196841,24.86,24.86,-586.3,2.3,586.3,-586.3,2.3,586.3,49.2,3.8,F8,4.18,,,-0.72,[Fe/H],,1.77,,,,,3,0,1,2,0,3,0,,7.301,7.818,,,6.145,5.888,5.813,5.886,5.724,5.841,5.79,,,,,,,,,,,,14,,0.517,,,0.257,0.075,0.332,0.365,0.129,0.305,12
423,HD 114783,b,HD 114783 b,Radial Velocity,0,2,493.7,1.16,0.144,,1.1,Msini,,,0,0,0,0,13h12m43.78s,198.182434,-02d15m54.1s,-2.26504,20.4,21.08,7.55,V (Johnson),7.318,5135,0.85,,5/14/14,0,1,0,0,0,0,5.69E+01,2453806,86,31.9,,,,1.1,,349.6,349.6,,,,,,,,,,,<a refstr=WITTENMYER_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJS..182...97W/abstract target=ref> Wittenmyer et al. 2009 </a>,2001,<a refstr=VOGT_ET_AL__2002 href=https://ui.adsabs.harvard.edu/abs/2002ApJ...568..352V/abstract target=ref> Vogt et al. 2002 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,61,30,http://exoplanet.eu/catalog/hd_114783_b/,http://exoplanets.org/detail/HD_114783_b,2002-03,HD 114783,HIP 64457,13.21216227,313.669265,60.162079,197.635526,5.035102,,47.45,-138.4,10.2,138.8,-138.4,10.2,138.8,-12.8,5,K0,,,,0.21,[Fe/H],,0.9,0.215,,,,4,0,1,3,0,4,1,,7.55,8.47,,,6.025,5.623,5.475,5.459,5.348,5.5,5.468,,,,,5.51E+00,5.28E+00,,,,,,19,,0.92,,,0.402,0.148,0.55,,,,6
424,HD 114783,c,HD 114783 c,Radial Velocity,0,2,4319,,0,,0.611,Msini,,,0,0,0,0,13h12m43.78s,198.182434,-02d15m54.1s,-2.26504,20.4,21.08,7.55,V (Johnson),7.318,5135,0.85,,11/29/18,0,1,0,0,0,0,,2458112,6.5,9.21,,,,0.611,,194.19413,194.19413,,,,,,JD,,,,,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,2018,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,46,30,http://exoplanet.eu/catalog/hd_114783_c/,,,HD 114783,HIP 64457,13.21216227,313.669265,60.162079,197.635526,5.035102,,47.45,-138.4,10.2,138.8,-138.4,10.2,138.8,-12.8,5,K0,,,,0.21,[Fe/H],,0.9,0.215,,,,4,0,1,3,0,4,1,,7.55,8.47,,,6.025,5.623,5.475,5.459,5.348,5.5,5.468,,,,,5.51E+00,5.28E+00,,,,,,19,,0.92,,,0.402,0.148,0.55,,,,6
425,HD 11506,b,HD 11506 b,Radial Velocity,0,2,1622.1,2.9,0.3743,,4.83,Msini,,,0,0,0,0,01h52m50.53s,28.210558,-19d30m25.1s,-19.506975,51.34,51.34,7.51,V (Johnson),7.374,6030,1.24,1.34,9/27/18,0,1,0,0,0,0,5.65E+01,2463391.8,220.16,78.17,,,,4.83,,1535.1189,1535.1189,,,,,,JD,,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180901228M/abstract target=ref>Ment et al. 2018</a>,2007,<a refstr=FISCHER_ET_AL__2007 href=https://ui.adsabs.harvard.edu/abs/2007ApJ...669.1336F/abstract target=ref> Fischer et al. 2007 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,71,22,http://exoplanet.eu/catalog/hd_11506_b/,http://exoplanets.org/detail/HD_11506_b,2007-11,HD 11506,HIP 8770,1.88070386,187.757215,-73.994616,18.379473,-28.921349,19.48,19.48,21.9,-97.7,100.2,21.9,-97.7,100.2,-8.1,4,G0 V,,0.33,,0.34,[Fe/H],2.3,5,,,,,2,0,1,1,0,3,3,,7.51,8.12,,,6.508,6.265,6.168,6.147,6.068,6.182,6.045,,,,,,,,,,,,17,,0.607,,,0.243,0.097,0.34,0.379,0.184,0.417,11
426,HD 11506,c,HD 11506 c,Radial Velocity,0,2,223.41,0.774,0.193,,0.408,Msini,,,0,0,0,0,01h52m50.53s,28.210558,-19d30m25.1s,-19.506975,51.34,51.34,7.51,V (Johnson),7.374,6030,1.24,1.34,9/27/18,0,1,0,0,0,0,1.51E+01,2463230,259,12.1,,,,0.408,,129.67464,129.67464,,,,,,JD,,,,,<a refstr=MENT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180901228M/abstract target=ref>Ment et al. 2018</a>,2008,<a refstr=TUOMI___KOTIRANTA_2009 href=https://ui.adsabs.harvard.edu/abs/2009A&A...496L..13T/abstract target=ref> Tuomi & Kotiranta 2009 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,59,22,http://exoplanet.eu/catalog/hd_11506_c/,,2009-03,HD 11506,HIP 8770,1.88070386,187.757215,-73.994616,18.379473,-28.921349,19.48,19.48,21.9,-97.7,100.2,21.9,-97.7,100.2,-8.1,4,G0 V,,0.33,,0.34,[Fe/H],2.3,5,,,,,2,0,1,1,0,3,3,,7.51,8.12,,,6.508,6.265,6.168,6.147,6.068,6.182,6.045,,,,,,,,,,,,17,,0.607,,,0.243,0.097,0.34,0.379,0.184,0.417,11
427,HD 116029,b,HD 116029 b,Radial Velocity,0,2,670,1.65,0,,1.4,Msini,,,0,0,0,0,13h20m39.54s,200.164764,+24d38m55.3s,24.648699,123.68,123.68,8.04,V (Johnson),7.609,4819,0.83,4.89,9/6/18,0,1,0,0,0,0,1.33E+01,,,36.6,,,,1.4,,444.962,444.962,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2011,<a refstr=JOHNSON_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197...26J/abstract target=ref> Johnson et al. 2011 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,38,16,http://exoplanet.eu/catalog/hd_116029_b/,http://exoplanets.org/detail/HD_116029_b,2011-12,HD 116029,HIP 65117,13.34431763,13.885099,82.977258,188.109097,30.48195,8.09,8.09,-14.5,-52.2,54.2,-14.5,-52.2,54.2,-6.42,5,K0,2.98,,,0.09,[Fe/H],,0.46,,,,,1,0,1,0,0,3,1,,8.04,8.898,,,6.144,5.65,5.534,5.494,5.422,5.528,5.498,,,,,,,,,,,,14,,1.009,,,0.494,0.116,0.61,,,,6
428,HD 116029,c,HD 116029 c,Radial Velocity,0,2,907,,0.038,,1.27,Msini,,,0,0,0,0,13h20m39.54s,200.164764,+24d38m55.3s,24.648699,123.68,123.68,8.04,V (Johnson),7.609,4819,0.83,4.89,11/29/18,0,1,0,0,0,0,,2455291,17.3,20.7,,,,1.27,,403.6441,403.6441,,,,,,JD,,,,,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,2018,<a refstr=BRYAN_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...821...89B/abstract target=ref>Bryan et al. 2016</a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,32,16,http://exoplanet.eu/catalog/hd_116029_c/,,,HD 116029,HIP 65117,13.34431763,13.885099,82.977258,188.109097,30.48195,8.09,8.09,-14.5,-52.2,54.2,-14.5,-52.2,54.2,-6.42,5,K0,2.98,,,0.09,[Fe/H],,0.46,,,,,1,0,1,0,0,3,1,,8.04,8.898,,,6.144,5.65,5.534,5.494,5.422,5.528,5.498,,,,,,,,,,,,14,,1.009,,,0.494,0.116,0.61,,,,6
429,HD 117207,b,HD 117207 b,Radial Velocity,0,1,2621.75,3.787,0.157,,1.926,Msini,,,0,0,0,0,13h29m21.11s,202.337967,-35d34m15.6s,-35.570995,32.38,32.38,7.24,V (Johnson),7.077,5732,1.05,1.07,6/27/19,0,1,0,0,0,0,1.17E+02,2455978.9,90.217,27.78,,,,1.926,,612.14058,612.14058,,,,,,BJD,,,,,<a refstr=BARBATO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...615A.175B/abstract target=ref>Barbato et al. 2018</a>,2004,<a refstr=MARCY_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...619..570M/abstract target=ref> Marcy et al. 2005 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,74,28,http://exoplanet.eu/catalog/hd_117207_b/,http://exoplanets.org/detail/HD_117207_b,2005-01,HD 117207,HIP 65808,13.48919779,311.552426,26.665355,214.393701,-24.251219,30.88,30.88,-206,-71.5,218,-206,-71.5,218,-17.9,4.8,G8 IV/V,4.37,,,0.19,[Fe/H],4.192,1.05,0.152,-5.06,,,3,0,1,2,0,3,0,,7.24,7.985,,,6.034,5.749,5.65,5.619,5.503,5.655,5.604,,,,,,,,,,,,15,,0.727,,,0.285,0.099,0.384,0.451,0.255,0.358,10
430,HD 11755,b,HD 11755 b,Radial Velocity,0,1,433.70001,1.09,0.19,,5.63,Msini,,,0,0,0,0,01h58m50.09s,29.708696,+73d09m08.6s,73.152382,236.64,236.64,6.87,V (Johnson),6.46,4312,0.72,20.58,9/6/18,0,1,0,0,0,0,4.61E+00,,,191.3,,,,5.63,,1789.3829,1789.3829,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2015,<a refstr=LEE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...584A..79L/abstract target=ref>Lee et al. 2015</a>,Ground,Bohyunsan Optical Astronomical Observatory,1.8 m Telescope,BOES Echelle Spectrograph,3,0,26,13,http://exoplanet.eu/catalog/hd_11755_b/,,,HD 11755,HIP 9242,1.98057976,127.840069,10.926218,63.839947,55.181791,4.23,4.23,-57.8,-57.4,81.5,-57.8,-57.4,81.5,-86.72,4.5,G5,1.67,,,-0.74,[Fe/H],,2.3,,,,,1,0,1,0,0,3,0,,6.87,8.113,,,4.667,3.931,3.76,,,,,,,,,,,,3.32E+00,3.14E+00,1.18E+00,-1.84E+00,14,,1.216,,,0.736,0.171,0.907,0.779,0.41,0.476,9
431,HD 117618,b,HD 117618 b,Radial Velocity,0,1,25.8,0.18,0.15,,0.174,Msini,,,0,0,0,1,13h32m25.55s,203.106476,-47d16m16.9s,-47.271362,37.82,37.82,7.169,V (Johnson),7.022,5990,1.08,,3/14/19,0,1,0,0,0,0,4.76E+00,,289,10.9,,,,0.174,,55.30242,55.30242,,,,,,,,,,,<a refstr=WITTENMYER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.5859W/abstract target=ref>Wittenmyer et al. 2019</a>,2004,<a refstr=TINNEY_ET_AL__2005 href=https://ui.adsabs.harvard.edu/abs/2005ApJ...623.1171T/abstract target=ref> Tinney et al. 2005 </a>,Ground,Anglo-Australian Telescope,3.9 m Anglo-Australian Telescope,UCLES Spectrograph,3,0,58,24,http://exoplanet.eu/catalog/hd_117618_b/,http://exoplanets.org/detail/HD_117618_b,2005-04,HD 117618,HIP 66047,13.54043172,310.111452,15.028259,220.684221,-34.613596,26.44,26.44,25.2,-125.4,127.9,25.2,-125.4,127.9,0.9,4.2,G2 V,4.41,,,,,,3.2,,,,,3,0,1,2,0,3,0,,7.169,7.769,,,6.098,5.843,5.737,5.774,5.643,5.77,5.72,,,,,,,,,,,,13,,0.6,,,0.255,0.106,0.361,,,,5
432,HD 118203,b,HD 118203 b,Radial Velocity,0,1,6.1335,0.07,0.31,,2.79,Msini,,,0,0,0,0,13h34m02.54s,203.510574,+53d43m42.7s,53.728531,92.51,92.51,8.05,V (Johnson),7.893,5864,1.84,2.06,9/6/18,0,1,0,0,0,0,7.57E-01,,,217,,,,2.79,,886.7457,886.7457,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,2005,<a refstr=DA_SILVA_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006A&A...446..717D/abstract target=ref> da Silva et al. 2006 </a>,Ground,Haute-Provence Observatory,1.93 m Telescope,ELODIE Spectrograph,3,0,34,15,http://exoplanet.eu/catalog/hd_118203_b/,http://exoplanets.org/detail/HD_118203_b,2006-02,HD 118203,HIP 66192,13.56737162,109.344272,62.26151,169.130768,56.467481,10.81,10.81,-85.9,-78.9,116.6,-85.9,-78.9,116.6,-29.39,5,K0,4.08,,,0.23,[Fe/H],,4.7,,,,,2,0,1,1,0,3,0,,8.05,8.746,,,6.861,6.608,6.543,6.472,6.45,6.501,6.438,,,,,,,,,,,,14,,0.699,,,0.253,0.065,0.318,,,,6
433,HD 11964,b,HD 11964 b,Radial Velocity,0,2,1945,3.16,0.041,,0.622,Msini,,,0,0,0,1,01h57m09.61s,29.290026,-10d14m32.7s,-10.242428,33.57,33.57,6.42,V (Johnson),6.204,5349,1.12,,1/31/19,0,1,0,0,0,0,9.41E+01,2454170,,9.41,,,,0.622,,198,198,,,,,,,,,,,<a refstr=WRIGHT_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...693.1084W/abstract target=ref> Wright et al. 2009 </a>,2005,<a refstr=BUTLER_ET_AL__2006 href=https://ui.adsabs.harvard.edu/abs/2006ApJ...646..505B/abstract target=ref> Butler et al. 2006 </a>,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3,0,46,29,http://exoplanet.eu/catalog/hd_11964_b/,http://exoplanets.org/detail/HD_11964_b,2006-07,HD 11964 A,HIP 9094,1.95266838,168.577683,-67.090456,23.376195,-20.771645,29.79,29.79,-367,-242.4,439.8,-367,-242.4,439.8,-9.4,4.8,G8 IV,4.03,,,0.122,[Fe/H],,2.74,0.138,-5.16,,,3,0,1,2,0,3,6,,6.42,7.23,5.96,5.555,5.023,4.637,4.491,4.473,4.23,4.529,4.477,,,,,,,,4.00E+00,3.28E+00,1.18E+00,-9.16E-01,25,,0.82,0.855,0.45,0.386,0.146,0.532,0.509,0.262,0.437,14
